="16TTP096";="BMBF";="414";="PT-VDI/VDE";="TZ-MST";="Universität Siegen";="05970040";="Siegen";="Siegen";="Nordrhein-Westfalen";="Deutschland";="Universität Siegen";="05970040";="Siegen";="Siegen";="Nordrhein-Westfalen";="Deutschland";="Etablierung des Karrierewegs der Tenure-Track-Professur - Universität Siegen";="TB0810";="Förderung des wissenschaftlichen Nachwuchses";="01.12.2019";="30.09.2030";12.276.680,00;="Hochschulbau und überwiegend hochschulbezogene Sonderprogramme";="";="PDIR";
="16TTP128";="BMBF";="414";="PT-VDI/VDE";="TZ-MST";="Christian-Albrechts-Universität zu Kiel";="01002000";="Kiel";="Kiel";="Schleswig-Holstein";="Deutschland";="Christian-Albrechts-Universität zu Kiel - Präsidium";="01002000";="Kiel";="Kiel";="Schleswig-Holstein";="Deutschland";="Etablierung des Karrierewegs der Tenure-Track-Professur - Christian-Albrechts-Universität zu Kiel";="TB0810";="Förderung des wissenschaftlichen Nachwuchses";="01.12.2017";="30.09.2030";19.831.560,00;="Hochschulbau und überwiegend hochschulbezogene Sonderprogramme";="";="PDIR";
="16TTP007";="BMBF";="414";="PT-VDI/VDE";="TZ-MST";="Universität Stuttgart";="08111000";="Stuttgart";="Stuttgart";="Baden-Württemberg";="Deutschland";="Universität Stuttgart";="08111000";="Stuttgart";="Stuttgart";="Baden-Württemberg";="Deutschland";="Etablierung des Karrierewegs der Tenure-Track-Professur - Universität Stuttgart";="TB0810";="Förderung des wissenschaftlichen Nachwuchses";="01.12.2017";="30.09.2030";18.887.200,00;="Hochschulbau und überwiegend hochschulbezogene Sonderprogramme";="";="PDIR";
="16TTP008";="BMBF";="414";="PT-VDI/VDE";="TZ-MST";="Eberhard Karls Universität Tübingen";="08416041";="Tübingen";="Tübingen";="Baden-Württemberg";="Deutschland";="Eberhard Karls Universität Tübingen";="08416041";="Tübingen";="Tübingen";="Baden-Württemberg";="Deutschland";="Etablierung des Karrierewegs der Tenure-Track-Professur - Universität Tübingen ";="TB0810";="Förderung des wissenschaftlichen Nachwuchses";="01.12.2017";="30.09.2030";18.887.200,00;="Hochschulbau und überwiegend hochschulbezogene Sonderprogramme";="";="PDIR";
="16TTP087";="BMBF";="414";="PT-VDI/VDE";="TZ-MST";="Rheinische Friedrich-Wilhelms-Universität Bonn";="05314000";="Bonn";="Bonn";="Nordrhein-Westfalen";="Deutschland";="Rheinische Friedrich-Wilhelms-Universität Bonn";="05314000";="Bonn";="Bonn";="Nordrhein-Westfalen";="Deutschland";="Etablierung des Karrierewegs der Tenure-Track-Professur - Universität Bonn";="TB0810";="Förderung des wissenschaftlichen Nachwuchses";="01.12.2019";="30.11.2030";26.442.080,00;="Hochschulbau und überwiegend hochschulbezogene Sonderprogramme";="";="PDIR";
="STIREAK30A";="BMBF";="715";="BF";="";="Kerntechnische Entsorgung Karlsruhe GmbH";="08215102";="Eggenstein-Leopoldshafen";="Eggenstein-Leopoldshafen";="Baden-Württemberg";="Deutschland";="Kerntechnische Entsorgung Karlsruhe GmbH";="08215102";="Eggenstein-Leopoldshafen";="Eggenstein-Leopoldshafen";="Baden-Württemberg";="Deutschland";="Stilllegung Reaktorprojekte der FZK GmbH";="ED1000";="Beseitigung kerntechnischer Anlagen";="01.01.2030";="31.12.2030";0,00;="Technologie- und Innovationsförderung";="";="PDIR";
="16BZF103";="BMWK";="IVA6";="PT-VDI/VDE";="TZ-MST";="Opel ACC GmbH";="07312000";="Kaiserslautern";="Kaiserslautern";="Rheinland-Pfalz";="Deutschland";="Opel ACC GmbH";="07312000";="Kaiserslautern";="Kaiserslautern";="Rheinland-Pfalz";="Deutschland";="Entwicklung und erster industrieller Einsatz neuer Generationen innovativer Zellen und Module für Hochspannungsbatterien von Elektrofahrzeugen";="ZMAN";="LP für alle Mandanten";="01.09.2021";="31.12.2030";385.742.623,00;="Ministerium";="";="PDIR";
="16TTP054";="BMBF";="414";="PT-VDI/VDE";="TZ-MST";="Universität Hamburg";="02000000";="Hamburg";="Hamburg";="Hamburg";="Deutschland";="Universität Hamburg - Präsidium";="02000000";="Hamburg";="Hamburg";="Hamburg";="Deutschland";="Etablierung des Karrierewegs der Tenure-Track-Professur - Universität Hamburg";="TB0810";="Förderung des wissenschaftlichen Nachwuchses";="01.12.2017";="31.12.2030";33.052.600,00;="Hochschulbau und überwiegend hochschulbezogene Sonderprogramme";="";="PDIR";
="WAK2030A";="BMBF";="715";="BF";="";="Kerntechnische Entsorgung Karlsruhe GmbH";="08215102";="Eggenstein-Leopoldshafen";="Eggenstein-Leopoldshafen";="Baden-Württemberg";="Deutschland";="Kerntechnische Entsorgung Karlsruhe GmbH";="08215102";="Eggenstein-Leopoldshafen";="Eggenstein-Leopoldshafen";="Baden-Württemberg";="Deutschland";="Stilllegung und Rückbau der Wiederaufarbeitungsanlage Karlsruhe";="ED5000";="Risikobeteiligung Kernenergie";="01.01.2030";="31.12.2030";0,00;="Technologie- und Innovationsförderung";="";="PDIR";
="HDB2030E";="BMBF";="715";="BF";="";="Kerntechnische Entsorgung Karlsruhe GmbH";="08215102";="Eggenstein-Leopoldshafen";="Eggenstein-Leopoldshafen";="Baden-Württemberg";="Deutschland";="Kerntechnische Entsorgung Karlsruhe GmbH";="08215102";="Eggenstein-Leopoldshafen";="Eggenstein-Leopoldshafen";="Baden-Württemberg";="Deutschland";="Gesetzliche Endlageraufwendungen (Endlagervorausleistungen und Endlagergebühren)";="ED2000";="Verfüllung und Sicherung kerntechnischer Endlager";="01.01.2030";="31.12.2030";0,00;="Technologie- und Innovationsförderung";="";="PDIR";
